,price_usd_per_m2,property_type,place_name,surface_total_in_m2,surface_covered_in_m2,ambientes,parrilla
23816,1956.521739130435,apartment,Villa Ortuzar,46.0,40.0,2.0,0
23817,2700.0,apartment,Villa Pueyrredón,50.0,44.0,2.0,0
23818,2289.1566265060237,apartment,Saavedra,83.0,80.0,4.0,0
23820,2167.832167832168,apartment,Palermo,143.0,47.0,3.0,0
23822,3043.478260869565,apartment,Villa del Parque,207.0,172.0,5.0,0
23823,3301.8867924528304,apartment,Palermo,53.0,38.0,1.0,0
23827,3440.476190476191,apartment,Belgrano,84.0,80.0,3.0,0
23836,2700.0,apartment,Villa Pueyrredón,50.0,44.0,2.0,0
23837,3484.848484848485,apartment,Villa Urquiza,33.0,33.0,1.0,0
23842,2580.0,apartment,Villa Ortuzar,50.0,48.0,3.0,0
23846,2407.4074074074074,apartment,Villa Devoto,81.0,77.0,4.0,0
23849,1897.058823529412,apartment,Villa Urquiza,68.0,68.0,3.0,0
23851,2537.037037037037,apartment,Villa Urquiza,54.0,47.0,2.0,0
23853,2315.0,apartment,Villa Urquiza,50.0,42.0,1.0,0
23855,2939.393939393939,apartment,Abasto,33.0,31.0,1.0,0
23856,2939.393939393939,apartment,Abasto,33.0,31.0,1.0,0
23858,2872.340425531915,apartment,Abasto,47.0,43.0,2.0,0
23863,2547.169811320755,apartment,Abasto,53.0,43.0,2.0,0
23871,2236.842105263158,apartment,San Telmo,38.0,36.0,1.0,0
23873,3035.714285714286,apartment,San Telmo,28.0,26.0,1.0,0
23876,2500.0,apartment,San Telmo,50.0,48.0,2.0,0
23878,2156.8627450980393,apartment,San Telmo,51.0,48.0,2.0,0
23879,2024.3243243243246,apartment,Villa Pueyrredón,37.0,35.0,1.0,0
23886,3066.666666666666,apartment,Coghlan,75.0,70.0,3.0,0
23890,2396.2264150943397,apartment,Caballito,53.0,53.0,1.0,0
23892,2339.4495412844035,apartment,Villa del Parque,109.0,101.0,4.0,0
23893,2333.333333333333,apartment,Villa del Parque,75.0,68.0,3.0,0
23894,2360.0,apartment,Villa del Parque,75.0,68.0,3.0,0
23898,2134.6153846153848,apartment,Flores,52.0,45.0,3.0,0
23901,2939.393939393939,apartment,Abasto,33.0,31.0,1.0,0
23902,2013.888888888889,apartment,Flores,72.0,65.0,3.0,0
23910,2900.0,apartment,Belgrano,50.0,45.0,1.0,1
23918,2700.0,apartment,Villa Pueyrredón,50.0,44.0,2.0,0
23930,2272.7272727272725,apartment,Saavedra,77.0,66.0,1.0,0
23934,2342.1052631578946,apartment,Saavedra,38.0,33.0,1.0,0
23935,2700.0,apartment,Villa Pueyrredón,50.0,44.0,2.0,0
23938,2449.2753623188405,apartment,Saavedra,69.0,59.0,1.0,0
23939,1897.058823529412,apartment,Villa Urquiza,68.0,68.0,3.0,0
23940,2315.7894736842104,apartment,Saavedra,38.0,34.0,1.0,0
23946,2575.757575757576,apartment,Saavedra,33.0,30.0,1.0,0
23949,2666.6666666666665,apartment,Villa del Parque,48.0,43.0,2.0,1
23951,2422.535211267605,apartment,Saavedra,71.0,67.0,1.0,0
23965,3750.0,apartment,Colegiales,52.0,49.0,2.0,0
23973,2600.0,apartment,Recoleta,40.0,36.0,1.0,0
23979,3000.0,apartment,Belgrano,50.0,45.0,1.0,1
23981,2500.0,apartment,Almagro,80.0,75.0,3.0,0
23984,3142.857142857143,apartment,Villa Crespo,35.0,33.0,1.0,1
